timestamp,provider,model,latency_s
"2025-10-27T11:54:25.789426","ollama","gemma3:4b",1.562282
"2025-10-27T11:53:54.182244","ollama","gemma3:4b",1.723547
"2025-10-27T11:53:22.406217","ollama","gemma3:4b",1.729477
"2025-10-27T11:52:50.623956","ollama","gemma3:4b",1.583177
"2025-10-27T11:52:18.993308","ollama","gemma3:4b",1.502021
"2025-10-27T11:51:47.439278","ollama","gemma3:4b",1.583651
"2025-10-27T11:51:15.802413","ollama","gemma3:4b",1.639774
"2025-10-27T11:50:44.117816","ollama","gemma3:4b",1.709779
"2025-10-27T11:50:12.353466","ollama","gemma3:4b",1.522514
"2025-10-27T11:49:40.787285","ollama","gemma3:4b",1.892805
"2025-10-27T11:49:08.839690","ollama","gemma3:4b",1.769819
"2025-10-27T11:48:37.022648","ollama","gemma3:4b",1.474784
"2025-10-27T11:48:05.493331","ollama","gemma3:4b",1.578816
"2025-10-27T11:47:33.861611","ollama","gemma3:4b",1.509666
"2025-10-27T11:47:02.297430","ollama","gemma3:4b",1.563162
"2025-10-27T11:46:30.681350","ollama","gemma3:4b",1.764021
"2025-10-27T11:45:58.862684","ollama","gemma3:4b",1.580358
"2025-10-27T11:45:27.231281","ollama","gemma3:4b",1.439135
"2025-10-27T11:44:55.740513","ollama","gemma3:4b",1.607978
"2025-10-27T11:44:24.080632","ollama","gemma3:4b",1.600135
"2025-10-27T11:43:52.425694","ollama","gemma3:4b",1.692863
"2025-10-27T11:43:20.676425","ollama","gemma3:4b",1.426892
"2025-10-27T11:42:49.194079","ollama","gemma3:4b",1.544480
"2025-10-27T11:42:17.595495","ollama","gemma3:4b",1.644437
"2025-10-27T11:41:45.897455","ollama","gemma3:4b",1.780348
"2025-10-27T11:41:14.063333","ollama","gemma3:4b",1.709549
"2025-10-27T11:40:42.298909","ollama","gemma3:4b",1.744055
"2025-10-27T11:40:10.180229","ollama","gemma3:4b",1.721749
"2025-10-27T11:39:38.408335","ollama","gemma3:4b",1.692232
"2025-10-27T11:39:06.662066","ollama","gemma3:4b",1.599871
"2025-10-27T11:38:35.007510","ollama","gemma3:4b",1.658302
"2025-10-27T11:38:03.296525","ollama","gemma3:4b",1.642437
"2025-10-27T11:37:31.597120","ollama","gemma3:4b",1.812448
"2025-10-27T11:36:59.729613","ollama","gemma3:4b",1.785679
"2025-10-27T11:36:27.890661","ollama","gemma3:4b",1.639104
"2025-10-27T11:35:56.198704","ollama","gemma3:4b",1.755916
"2025-10-27T11:35:24.388813","ollama","gemma3:4b",1.827656
