timestamp,provider,model,latency_ms
"2025-10-27T05:18:16.502295","ollama","gemma3:4b",3759.000
"2025-10-27T05:17:46.461212","ollama","gemma3:4b",3888.000
"2025-10-27T05:17:16.418751","ollama","gemma3:4b",3890.000
"2025-10-27T05:16:46.378429","ollama","gemma3:4b",4703.000
"2025-10-27T05:16:16.335145","ollama","gemma3:4b",4231.000
"2025-10-27T05:15:46.293379","ollama","gemma3:4b",3724.000
"2025-10-27T05:15:16.252690","ollama","gemma3:4b",3914.000
"2025-10-27T05:14:46.210269","ollama","gemma3:4b",3779.000
"2025-10-27T05:14:16.169257","ollama","gemma3:4b",3774.000
"2025-10-27T05:13:46.126246","ollama","gemma3:4b",3780.000
"2025-10-27T05:13:16.085350","ollama","gemma3:4b",3781.000
"2025-10-27T05:12:46.044421","ollama","gemma3:4b",3895.000
"2025-10-27T05:12:16.004232","ollama","gemma3:4b",4198.000
"2025-10-27T05:11:45.966280","ollama","gemma3:4b",4050.000
"2025-10-27T05:11:15.926121","ollama","gemma3:4b",3888.000
"2025-10-27T05:10:45.884435","ollama","gemma3:4b",3985.000
"2025-10-27T05:10:15.841745","ollama","gemma3:4b",3953.000
"2025-10-27T05:09:45.798617","ollama","gemma3:4b",6303.000
"2025-10-27T05:09:15.755627","ollama","gemma3:4b",3685.000
"2025-10-27T05:08:45.715523","ollama","gemma3:4b",4326.000
"2025-10-27T05:08:15.672433","ollama","gemma3:4b",3880.000
"2025-10-27T05:07:45.630703","ollama","gemma3:4b",4114.000
"2025-10-27T05:07:15.590817","ollama","gemma3:4b",5679.000
"2025-10-27T05:06:45.547779","ollama","gemma3:4b",4089.000
"2025-10-27T05:06:15.506498","ollama","gemma3:4b",3758.000
"2025-10-27T05:05:45.464668","ollama","gemma3:4b",3831.000
"2025-10-27T05:05:15.423404","ollama","gemma3:4b",4052.000
"2025-10-27T05:04:45.381941","ollama","gemma3:4b",3864.000
"2025-10-27T05:04:15.343796","ollama","gemma3:4b",3530.000
"2025-10-27T05:03:45.300312","ollama","gemma3:4b",3847.000
"2025-10-27T05:03:15.258863","ollama","gemma3:4b",3719.000
"2025-10-27T05:02:45.218248","ollama","gemma3:4b",3715.000
"2025-10-27T05:02:15.176072","ollama","gemma3:4b",3841.000
"2025-10-27T05:01:45.134129","ollama","gemma3:4b",3685.000
"2025-10-27T05:01:15.093104","ollama","gemma3:4b",3889.000
"2025-10-27T05:00:45.051636","ollama","gemma3:4b",3734.000
"2025-10-27T05:00:15.010202","ollama","gemma3:4b",3811.000
"2025-10-27T04:59:44.968921","ollama","gemma3:4b",3918.000
"2025-10-27T04:59:14.928180","ollama","gemma3:4b",3881.000
"2025-10-27T04:58:44.887263","ollama","gemma3:4b",3945.000
"2025-10-27T04:58:14.844087","ollama","gemma3:4b",4823.000
"2025-10-27T04:57:44.800793","ollama","gemma3:4b",6350.000
"2025-10-27T04:57:14.756352","ollama","gemma3:4b",3847.000
"2025-10-27T04:56:44.715381","ollama","gemma3:4b",3899.000
"2025-10-27T04:56:14.673592","ollama","gemma3:4b",3497.000
"2025-10-27T04:55:44.634925","ollama","gemma3:4b",3903.000
"2025-10-27T04:55:14.592963","ollama","gemma3:4b",3831.000
"2025-10-27T04:54:44.551611","ollama","gemma3:4b",3568.000
"2025-10-27T04:54:14.510481","ollama","gemma3:4b",3678.000
"2025-10-27T04:53:44.468462","ollama","gemma3:4b",4095.000
"2025-10-27T04:53:14.425170","ollama","gemma3:4b",3962.000
"2025-10-27T04:52:44.383184","ollama","gemma3:4b",5857.000
"2025-10-27T04:52:14.337972","ollama","gemma3:4b",4518.000
"2025-10-27T04:51:44.289046","ollama","gemma3:4b",5988.000
"2025-10-27T04:51:14.238230","ollama","gemma3:4b",5469.000
"2025-10-27T04:50:44.186844","ollama","gemma3:4b",5311.000
"2025-10-27T04:50:14.135657","ollama","gemma3:4b",6715.000
"2025-10-27T04:49:44.082702","ollama","gemma3:4b",6371.000
"2025-10-27T04:49:14.033181","ollama","gemma3:4b",7334.000
"2025-10-27T04:48:43.982276","ollama","gemma3:4b",5409.000
"2025-10-27T04:48:13.931245","ollama","gemma3:4b",6309.000
"2025-10-27T04:47:43.877606","ollama","gemma3:4b",5526.000
"2025-10-27T04:47:13.827265","ollama","gemma3:4b",6827.000
"2025-10-27T04:46:43.775840","ollama","gemma3:4b",5253.000
"2025-10-27T04:46:13.726781","ollama","gemma3:4b",6353.000
"2025-10-27T04:45:43.676322","ollama","gemma3:4b",8627.000
"2025-10-27T04:45:13.626001","ollama","gemma3:4b",6726.000
